	review
1	"Absolutely love the value with their ""buy at least two"" deal going on. I save a lot of money's and it's easy to sell at work. Plus, I get a free pizza every now and then using my points. How awesome is that? I rarely give my business to anyone else when it comes to pizza."
2	Ordered food from Domino's on North 25th street. Derick took my order and made it. And it's the best food I've had in a very long time. I will definitely be ordering from him again! Somebody outta give the guy a raise because he is a perfectionist at his job!!!!
3	Ordered a veggie lover's pizza without onion from the location on Kearney and they got it wrong. Was supposed to send a voucher to us for a free pizza yet we never got it, so we called again and they told us to wait, so we called again and Justin took care of his right then and there and had it sent to us within 30 minutes. I know it was so hard for the others but Justin got it right on how you're supposed to deal with your customers. Good job.
4	Just another good experience with the Domino's Pizza store at Kathleen Square in North Lakeland, Fl. Ordered online, easy and seamless. Predicted 30-40 minute delivery time from the time my order was entered, ended up being less than 25 minutes. Our two pizzas were perfectly baked and just...pretty, as if the pizza chef made it for his/her own family. Seriously. The packaged chicken Caesar salad looks good, it's for my wife's lunch tomorrow. This is not our first order from this location, and the team at this store has nailed it every time. Keep it up and we will be continuing customers.
5	Review for Dominos del Amo bl, Lakewood CA. Very highly recommended. Horaccio is Very professional and excels in his customer service skills.. 5 stars to him and the other staff there.. My 2nd time getting pizza from there.. The food is fresh and on point really good.. I haven't had that experience at other dominos so I just had to write the reveiw and show my appreciation for getting great and friendly professional service and the good being on point definitely puts this dominos on the top of the list.. Thank you guys. It's the way you treat others is what they remember in any business.. Presentation is everything.. Thank you
6	Ordered pizza and garlic bread like usual and the food was left on the ground and covered with ants! We never gave instructions to leave pizza on porch! Was given another pizza and never even ate it! Very disappointing!
7	I ordered Domino's delivery online and was offered a coupon. I added my delivery information when prompted. During the process I was offered one add-on for a discount under the coupon. When I got to check-out, it said I could not add-on and the price went from $5.99 + whatever the add-on was, to $26.24. I was hungry I proceeded unhappily. The site offered status of my order with choices. I Amazon Alexa. Alexa confirmed.
8	I ordered pizza for my family. Not only was the pizza never delivered but the money was taken out of my account not once but twice! Called and spoke to the manager who yelled at me because so many people where had called and I was the one that got it even though I was saying it's ok, it's not your fault! But being that everyone who had called was so ignorant by the time I called it was, I have been seeing you calling and I'm trying to fix the problem. What else do I want me to do.... And I'm saying it's ok, calm down, you're fine, she is yelling and yeah my door slammed and she got the momma bear!! I have yet to get a call or my money or food. Dominos wtf my Money
9	I called to complain. I was told I would get a replacement. But the employee did not put in a book. So I m told. When I called for a replacement they told me there is no record and too bad for me. They do keep word not. Don't go there!
10	"Their customer service is nonexistent. Have been writing to them for over a month as I never received the $3.00 tip advertised on TV. Only response I got was ""order timed out"". Won't even tell me what that means. It's too bad as they have a good product but for $3.00 they will not see me in any of their stores!"
11	Received unlawful and bad service. Wrote to Dominos Corp around 3/16/2022. No reply as of yet. Please see below. It's definitely ground for a legal action.I have few coupons from SaveAround coupon book that I had been purchasing for the last 10 or so years to support local High Schools. One of the coupons that the book has is from Domino’s (buy any, one or more toping large pizza, and get another free of equal or lesser value), and there’s no restriction whatsoever. Besides buying other stuff throughout the year from Domino’s, I had been using this coupon to buy one spatiality pizza (it has more than one topping) at the regular menu price and get another one for free as indicated.
12	Call the West Main Street Domino's in Meriden Connecticut and order a large pepperoni pizza and when I get there they were arguing with me that it was a medium pepperoni. Wrong. The lady who I even spoke with said my order back to me. They claim they record calls. Well check my call recording. I'm pissed. This place in Meriden is such a joke. They need to learn to hire people that know how to do their job.
13	I ordered pizza online for pickup. When I came into the store the pizza was already done. I paid my bill. There were four people standing around the guy that took my money, walked away and then I waited for 10 minutes until an employee that worked all the time noticed that the pizza was not given to me. What a bad customer service and the poor lady that was working while all the other guys were just standing around doing nothing.
14	"Well, that massive and creative marketing campaign about a $3 tip isn't really a tip. Domino's saves on gas and employees, but you don't save anything unless you are buying pizza every 7 days. Yep, your ""tip"" expires in 7 days. Isn't this false or misleading advertising? If I give a driver $3 tip, does it just disappear from his/her pocket in 3 days (probably, but you know what I mean)?"
15	Welp!! I didn't get my wings I so badly wanted at the time. Too bad I can't post my pictures. HIGHLY disappointed. 2 large hand tossed, bread twist, 8pc WINGS PLAIN, 2 2-liters... Got everything right but THE WINGS!! Gave me two boxes of Garlic Bread twist.
16	Ordered from Dominoes in FT Lauderdale FL Online. Oder said processing, two hours later card was charged and site still said prepping order. Tried to call store and sat on hold for an hour. WORST service I have ever had would not recommend to Anyone.
17	AUSTIN IN CASTLE HAYNE NC HAS A VERY RUDE AND NEGATIVE ATTITUDE WITH REPEAT CUSTOMERS. VERY BAD. PLEASE LET HIM GO. He refuses to give out his name. Will NOT give out corporate phone number for fear of being reported. He told his employees not to give out manager name or corporate phone number, that if I want corporate number I have to go to store.
18	I used to order as a last resort when starving. But pizza has gotten saltier and saltier. Pure salt. But what really turned me off from the company is how they just went on an attack in the delivery drivers by promoting to tip the customer $3 if they pick up their own food. They always charge ridiculous made up fees. False advertise on prices. Always mess up orders. Bad on the phone. But to see that they don’t even care or take care of their own workers sealed it. Never again I give them business.
19	Ordered a large pizza well done and it was burnt black on edges and sausage was too hard and black also. Took a piece back to verify and manager said this is what well done looks like. I have ordered this before and it has never been like this. Pizza was inedible! New manager does not know what pizza should look like. Very poor customer service!
20	No don't. Gave me headache and puked on eating. Order placed yesterday and gave me stale food and I got sick and puked. The whole order is in garbage. Even the garbage disposal service is asking of 100 units to dispose on top of 400 units paid for. And needless to say got to bed hungry.
21	Whoever changed the prices recently, I just want to talk. Example: the chocolate lava cakes use to be $3.99 for 2. Now they're $6.99 for 3. So you get 1 more cake and have to pay the same price for 2 twice. I don't know. Maybe it's just me loving food too much, but that's unfair to me and I'm disappointed. Haha.
22	I had been a long time Domino's customer until yesterday. I ordered pizza and was called informing me that the delivery was near. I informed the driver that I was on my way downstairs to receive the delivery. I waited and no delivery. I called the store upset that I had not received my pizza and was hung up on because they did not like my tone. I rode by bike down to the store and informed a manager of the situation. He stated that the driver had made several calls - untrue and that the pizza was left at the building entrance - untrue. I received a text with a photo of a building entrance that is not mine. I became more upset explaining the situation and was asked to leave the store. This is not the first time I have experienced delivery problems. At any rate, this company has lost a 30 year customer. Shop Pizza Hut or Papa John's. Forget Domino's, I will!
23	BRING BACK THE CHEESEBURGER PIZZA!! Please..My husband and I really wanted the pizza the other day and were super excited to get it delivered to our house. Turn out that you guys no longer make that pizza. Made us super upset. We want it back. I'm sure a lot of people want it back too. So Please Please bring it back.
24	My wife and I have alternated Domino's and Pizza Hut for the past few years, but we are done with Domino's. She orders a thin crust w/ Italian sausage (normal). I order pan w/ extra sausage. I ALWAYS end up with about 1/3 of hers. I prefer their taste, but I feel like I am getting cheated every time - paying extra for much less. I've taken pics the last few times but they are too big to upload and it's pathetic.
25	They keep saying they are making changes....Well it is WAY worse here. When the driver showed up with the food he only had less than half, I asked why thinking he would say it's in the car.... No. With the receipt in hand..the store I thought I got it all.... 3 boxes well there were 4 more. Had to wait 20 more min for the rest. While we waited we had a slice and I take it they are over stock in pepperoni and under in cheese. Horrible. I wasted over 100$ and 20$ tip ahead.
26	Tonight I ordered from store #8841 I order a pizza and pasta and a 2 liter drink, after a hour and 20 mins we called the store and the manager said check to see if your neighbor has your order. We don’t live in a projects. We live in a very nice and upkeep neighborhood so I went to the door. My food was placed on the porch not steps and nobody rang nor called to let us know they were there. His excuse was the driver was going home not a good excuse for me to know I paid 28.67 and got the worst service and the manager wasn’t good at customer service. He kept giving a excuse that they should have rang the door bell but they didn’t. Well the food was ice cold like the soda was sitting on cement. 
27	"These people now started robbery, I placed order, and not delivered even after 1hr, they not even informed me that they will be late, when I called delivery boy he says ""I can't assure when can I come,"" and another strange is my order says delivered in the app."
28	I ordered online to have my order delivered. Once they delivered a food item was missing. I called and the person said he was the manager and was very rude. He would not give his name and I tried to tell him what was missing by reading the item from the receipt. He refused to hear what I was reading off receipt. I asked for his superior, he refused. I said I would complain he said go ahead. And hung up on me. 
29	Store 12693 main st suite 240 Hesperia. I had a problem with my order and I called to the restaurant and talked to the manager **. She was so great and fixed my problem so smoothly. I really did appreciate how nice they solved my problem.
30	Food ordered. We're 10 minutes away from the store and it takes 45 minutes to an HOUR for the food to finally get to us. Pizza is always under or overcooked. They take no concern about gluten or dairy allergies. I don't know why people even like it. It's horrendous.
31	Due to some delivery issues, I did not get my order and the delivery agent marked it as not contactable. But the manager, Aman, ensures that it reached me within 15 mins. You should have more employees like him. Give him a raise!
32	Last month I ordered online, waited 3 hours, called several times, and when the driver arrived he delivered my meal next door to my neighbor. Granted it's not their fault about the bad neighbor but I did try and catch the driver while he was next door, called the store to complain, and filed complaint with corporate with no response. This time I went in store and ordered, waited 30 minutes listening to the workers discuss gays, rednecks, and what they like and don't like. Food handed to me and inspected. Pizza burnt, given not completely and or correctly cooked, and no sauce for dessert. They offered to replace fresh but this was going to be another 45 minutes. Called complaint line and still no answer after 2 days. Never again :( Oh and the meal was just over 50 dollars and I took pictures.
33	Ordered a pizza delivery online. Pizza tracker indicates pizza is done and 45 minutes later it’s finally out for delivery. Delivery took 35 minutes even though I’m 5 minutes from the store. Pizza was COLD. Called the manager at the store and she was unconcerned. The we make it right option on the app is a joke. This is their response “We are unable to guarantee delivery times.” Fenton MO Store. Scott **. Customer Service Associate. MBR Management/dba Domino's.
